Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1981-05-06,,,995.207149,,1211.599037,1264.336351,,941.40625,
1981-05-07,,,995.207149,,1219.844358,1264.336351,,933.105469,
1981-05-08,,,995.207149,,1219.751714,1264.336351,,948.730469,
1981-05-11,,,995.207149,,1201.686122,1264.336351,,962.890625,
1981-05-12,,,995.207149,,1211.043172,1264.336351,,945.3125,
1981-05-13,,,995.207149,,1209.468223,1264.336351,,945.800781,
1981-05-14,,,995.207149,,1216.23124,1264.336351,,930.664063,
1981-05-15,,,995.207149,,1224.476561,1264.336351,,947.265625,
1981-05-18,,,995.207149,,1227.904391,1264.336351,,940.917969,
1981-05-19,,,995.207149,,1223.735409,1264.336351,,940.429688,
1981-05-20,,,995.207149,,1222.901612,1264.336351,,937.011719,
1981-05-21,,,995.207149,,1220.58551,1264.336351,,927.734375,
1981-05-22,,,995.207149,,1216.69446,1264.336351,,923.339844,
1981-05-25,,,995.207149,,1216.69446,1264.336351,,923.339844,
1981-05-26,,,995.207149,,1230.035205,1264.336351,,911.132813,
1981-05-27,,,995.207149,,1239.299611,1264.336351,,911.621094,
1981-05-28,,,995.207149,,1236.335001,1264.336351,,935.546875,
1981-05-29,,,1030.950447,,1228.367612,1209.879094,,936.035156,
1981-06-01,,,1030.950447,,1226.700019,1209.879094,,943.847656,
1981-06-02,,,1030.950447,,1210.116732,1209.879094,,925.78125,
1981-06-03,,,1030.950447,,1210.950528,1209.879094,,928.710938,
1981-06-04,,,1030.950447,,1213.26663,1209.879094,,903.320313,
1981-06-05,,,1030.950447,,1224.939781,1209.879094,,898.4375,
1981-06-08,,,1030.950447,,1225.125069,1209.879094,,924.804688,
1981-06-09,,,1030.950447,,1222.62368,1209.879094,,899.414063,
1981-06-10,,,1030.950447,,1225.866222,1209.879094,,908.691406,
1981-06-11,,,1030.950447,,1239.114323,1209.879094,,906.738281,
1981-06-12,,,1030.950447,,1236.705577,1209.879094,,921.875,
1981-06-15,,,1030.950447,,1237.817306,1209.879094,,921.386719,
1981-06-16,,,1030.950447,,1224.291273,1209.879094,,901.367188,
1981-06-17,,,1030.950447,,1235.130628,1209.879094,,901.855469,
1981-06-18,,,1030.950447,,1219.566426,1209.879094,,896.484375,
1981-06-19,,,1030.950447,,1225.403002,1209.879094,,895.019531,
1981-06-22,,,1030.950447,,1222.438392,1209.879094,,902.34375,
1981-06-23,,,1030.950447,,1235.40856,1209.879094,,911.132813,
1981-06-24,,,1030.950447,,1229.01612,1209.879094,,902.34375,
1981-06-25,,,1030.950447,,1230.405781,1209.879094,,872.070313,
1981-06-26,,,1030.950447,,1228.089679,1209.879094,,863.28125,
1981-06-29,,,1030.950447,,1221.882527,1209.879094,,837.402344,
1981-06-30,,,1028.594639,,1215.582731,1217.364169,,832.03125,
1981-07-01,,,1028.594639,,1202.241986,1217.364169,,824.21875,
1981-07-02,,,1028.594639,,1191.773207,1217.364169,,809.570313,
1981-07-03,,,1028.594639,,1191.773207,1217.364169,,808.59375,
1981-07-06,,,1028.594639,,1180.007412,1217.364169,,788.574219,
